side,joint,delta,type,elbow_x,elbow_y,elbow_z,displacement
left,combo,0,combo,-10.085718154907227,-4.807345390319824,0.6457831859588623,0.14152953028678894
left,combo,0,combo,-10.022673606872559,-4.779517650604248,0.6352134346961975,0.1114608570933342
left,combo,0,combo,-10.099123001098633,-4.812283992767334,0.662879228591919,0.15978549420833588
left,combo,0,combo,-9.995701789855957,-4.766932964324951,0.6568958163261414,0.1270294189453125
left,combo,0,combo,-10.022810935974121,-4.842623710632324,0.5962314605712891,0.054634179919958115
left,combo,0,combo,-9.974964141845703,-4.786345958709717,0.6368255615234375,0.09783289581537247
left,combo,0,combo,-10.106464385986328,-4.848043918609619,0.637502908706665,0.14605428278446198
left,combo,0,combo,-10.039525032043457,-4.788020133972168,0.6330602765083313,0.11270060390233994
left,combo,0,combo,-10.022936820983887,-4.777418613433838,0.6513705849647522,0.12309771776199341
left,combo,0,combo,-9.964712142944336,-4.78221321105957,0.6502074003219604,0.11092225462198257
left,combo,0,combo,-9.947070121765137,-4.821911334991455,0.619057297706604,0.06793470680713654
left,combo,0,combo,-9.972991943359375,-4.852734565734863,0.5963032841682434,0.02725883014500141
left,combo,0,combo,-9.97607707977295,-4.771036624908447,0.6496778726577759,0.11777318269014359
left,combo,0,combo,-10.02995777130127,-4.785414218902588,0.6347736120223999,0.11042143404483795
left,combo,0,combo,-10.016877174377441,-4.772130966186523,0.6469863057136536,0.12172951549291611
left,combo,0,combo,-10.000833511352539,-4.780487537384033,0.6383906006813049,0.10581579059362411
left,combo,0,combo,-10.062344551086426,-4.83933687210083,0.6126596927642822,0.09688175469636917
left,combo,0,combo,-10.060662269592285,-4.8077826499938965,0.6312322616577148,0.11483655124902725
left,combo,0,combo,-10.047948837280273,-4.829433917999268,0.6092556715011597,0.08559930324554443
left,combo,0,combo,-10.002771377563477,-4.7858171463012695,0.6305975914001465,0.09741829335689545
left,combo,0,combo,-10.004705429077148,-4.822640895843506,0.6055997014045715,0.05699260160326958
left,combo,0,combo,-9.943323135375977,-4.808567523956299,0.626628041267395,0.08239927142858505
left,combo,0,combo,-10.048770904541016,-4.8538594245910645,0.596104085445404,0.07615947723388672
left,combo,0,combo,-9.969016075134277,-4.835371494293213,0.6066275238990784,0.043790053576231
left,combo,0,combo,-10.067468643188477,-4.781119346618652,0.6760199666023254,0.15887220203876495
left,combo,0,combo,-10.01412582397461,-4.783813953399658,0.6356006860733032,0.10545351356267929
left,combo,0,combo,-10.079514503479004,-4.847873210906982,0.6134259700775146,0.11147011816501617
left,combo,0,combo,-10.048523902893066,-4.779682159423828,0.6496439576148987,0.13229745626449585
left,combo,0,combo,-10.07013988494873,-4.798035621643066,0.6464354991912842,0.1342385858297348
left,combo,0,combo,-9.998714447021484,-4.840664386749268,0.594028890132904,0.036431800574064255
left,combo,0,combo,-9.973613739013672,-4.773393154144287,0.6512757539749146,0.1172100305557251
left,combo,0,combo,-10.0552339553833,-4.7963666915893555,0.6459655165672302,0.12492683529853821
left,combo,0,combo,-10.097068786621094,-4.853213787078857,0.6226564645767212,0.1308959275484085
left,combo,0,combo,-10.114202499389648,-4.839431285858154,0.6452209949493408,0.15726551413536072
left,combo,0,combo,-9.980462074279785,-4.805621147155762,0.6242863535881042,0.0753428116440773
left,combo,0,combo,-10.024760246276855,-4.829176425933838,0.6004917025566101,0.06318843364715576
left,combo,0,combo,-10.00080394744873,-4.787311553955078,0.6267136335372925,0.0934082493185997
left,combo,0,combo,-10.025440216064453,-4.815433502197266,0.609714686870575,0.07535606622695923
left,combo,0,combo,-10.055980682373047,-4.7746381759643555,0.6636264324188232,0.14784418046474457
left,combo,0,combo,-9.95979118347168,-4.781661510467529,0.6696177124977112,0.12661978602409363
left,combo,0,combo,-9.984992027282715,-4.797752380371094,0.6299701929092407,0.0851840004324913
left,combo,0,combo,-10.03246784210205,-4.779836177825928,0.6457765102386475,0.12185882031917572
left,combo,0,combo,-9.946589469909668,-4.806307315826416,0.6311318278312683,0.08565279096364975
left,combo,0,combo,-10.028154373168945,-4.775702476501465,0.6484318971633911,0.12435171753168106
left,combo,0,combo,-10.123927116394043,-4.859571933746338,0.64839106798172,0.1662806123495102
left,combo,0,combo,-9.972678184509277,-4.770266532897949,0.6625649929046631,0.12746979296207428
left,combo,0,combo,-10.055767059326172,-4.815104961395264,0.6211003065109253,0.10285235196352005
left,combo,0,combo,-9.989167213439941,-4.7732744216918945,0.6545373797416687,0.12010324001312256
left,combo,0,combo,-10.01046085357666,-4.832174301147461,0.6036325097084045,0.05369426682591438
left,combo,0,combo,-10.06273365020752,-4.8200554847717285,0.6181893944740295,0.10503820329904556
left,combo,0,combo,-9.99362564086914,-4.774715423583984,0.6420222520828247,0.11111060529947281
left,combo,0,combo,-10.0855712890625,-4.788471698760986,0.6812525391578674,0.16999264061450958
left,combo,0,combo,-10.055428504943848,-4.804401397705078,0.6334798336029053,0.11389677226543427
left,combo,0,combo,-10.077858924865723,-4.836164951324463,0.6175848841667175,0.11329218745231628
left,combo,0,combo,-10.02395248413086,-4.805202484130859,0.6110005378723145,0.08130015432834625
left,combo,0,combo,-9.972461700439453,-4.773024559020996,0.647487223148346,0.1149250864982605
left,combo,0,combo,-9.929096221923828,-4.845566272735596,0.6287850141525269,0.07713784277439117
left,combo,0,combo,-9.94565200805664,-4.812117576599121,0.6342347264289856,0.08498532325029373
