side,joint,delta,type,elbow_x,elbow_y,elbow_z,displacement
right,combo,0,combo,-9.94786548614502,-5.228383541107178,0.6272842288017273,0.5247815847396851
right,combo,0,combo,-9.958149909973145,-5.22806978225708,0.6295299530029297,0.5305163264274597
right,combo,0,combo,-10.052188873291016,-5.189627647399902,0.6051570773124695,0.5656878352165222
right,combo,0,combo,-10.002106666564941,-5.148590564727783,0.5789657235145569,0.5394290685653687
right,combo,0,combo,-9.94190502166748,-5.1634602546691895,0.6015298962593079,0.5268669128417969
right,combo,0,combo,-9.987578392028809,-5.207481384277344,0.6029307246208191,0.5269352197647095
right,combo,0,combo,-9.966756820678711,-5.186009883880615,0.6041065454483032,0.5280354022979736
right,combo,0,combo,-10.053382873535156,-5.15635347366333,0.5859286189079285,0.565504252910614
right,combo,0,combo,-9.975003242492676,-5.168337345123291,0.5868334770202637,0.5249541997909546
right,combo,0,combo,-10.063018798828125,-5.218114376068115,0.628632128238678,0.5795379281044006
right,combo,0,combo,-9.98217487335205,-5.216185569763184,0.6031281352043152,0.521602213382721
right,combo,0,combo,-9.982545852661133,-5.190759181976318,0.591792643070221,0.5223199725151062
right,combo,0,combo,-9.963294982910156,-5.2285380363464355,0.6240217685699463,0.527498185634613
right,combo,0,combo,-10.025257110595703,-5.22075891494751,0.6195748448371887,0.552734375
right,combo,0,combo,-10.102607727050781,-5.200747966766357,0.6549636125564575,0.6267402172088623
right,combo,0,combo,-10.053473472595215,-5.21952486038208,0.6302346587181091,0.575504720211029
right,combo,0,combo,-9.939432144165039,-5.197688579559326,0.6101024746894836,0.5184298753738403
right,combo,0,combo,-10.080212593078613,-5.201805114746094,0.6229466795921326,0.5895975828170776
right,combo,0,combo,-10.076860427856445,-5.185689449310303,0.6171964406967163,0.589216411113739
right,combo,0,combo,-10.065292358398438,-5.141207218170166,0.5848867297172546,0.5777056217193604
right,combo,0,combo,-10.116790771484375,-5.141875267028809,0.6201133728027344,0.6305325031280518
right,combo,0,combo,-10.042829513549805,-5.167449474334717,0.5855019688606262,0.5550088286399841
right,combo,0,combo,-10.05070972442627,-5.18194055557251,0.5950125455856323,0.5601708889007568
right,combo,0,combo,-9.925268173217773,-5.172846794128418,0.6190590262413025,0.5319541096687317
right,combo,0,combo,-9.957914352416992,-5.224849700927734,0.632006049156189,0.533667802810669
right,combo,0,combo,-10.013855934143066,-5.21321439743042,0.6102462410926819,0.5424314141273499
right,combo,0,combo,-10.025074005126953,-5.20737886428833,0.6089480519294739,0.5487183928489685
right,combo,0,combo,-10.081583023071289,-5.192984580993652,0.6256911754608154,0.5955458879470825
right,combo,0,combo,-9.94070816040039,-5.19673490524292,0.6042512655258179,0.5142819285392761
right,combo,0,combo,-10.108437538146973,-5.175325393676758,0.6325992941856384,0.6217898726463318
right,combo,0,combo,-10.008849143981934,-5.228953838348389,0.6218493580818176,0.5443477034568787
right,combo,0,combo,-10.028838157653809,-5.163108825683594,0.5807321667671204,0.5464271903038025
